name,ra,dec,pm_ra,pm_dec,parallax,spect_type,_class,dist
HIP 48752,149.16726051,-89.78245385,-14.75,10.54,4.17,A0IV,STAR A0IV,239.81
HIP 71348,218.87831588,-89.771696,-8.85,-8.78,2.08,M4III,STAR M4III,480.77
HIP 42708,130.51854607,-89.4605018,16.38,-13.3,2.39,M1III,STAR M1III,418.41
HIP 78866,241.48101072,-89.30844881,-23.75,-40.83,11.95,F2/F3V,STAR F2V,83.68
HIP 22645,73.08412819,-89.27396066,22.02,21.43,4.42,A3m...,STAR A3,226.24
HIP 54065,165.95273774,-89.23917414,-62.91,11.01,9.18,F0IV/V,STAR F0IV,108.93
HIP 3560,11.37459799,-89.16899196,61.88,-7.64,7.74,G2V:,STAR G2V,129.20
HIP 90987,278.38554942,-89.13745594,-8.55,-32.32,2.96,K0III+...,STAR K0III,337.84
HIP 40104,122.88527773,-89.00436594,5.6,-20.53,5.42,A7III,STAR A7III,184.50
HIP 104382,317.19172547,-88.9565112,25.96,5.02,12.07,F0III,STAR F0III,82.85
HIP 23845,76.90313924,-88.87031204,6.45,13.23,4.78,A1m...,STAR A1,209.21
HIP 35861,110.89900337,-88.85198288,-18.88,23.1,4.07,B9V,STAR B9V,245.70
HIP 112355,341.37331127,-88.8182074,22.14,-35.7,9.99,A7IV,STAR A7IV,100.10
HIP 92231,281.94714007,-88.77559063,22.55,-29.69,2.69,K1/K2III,STAR K1III,371.75
HIP 30678,96.69688072,-88.74373403,-1.53,15.74,4.28,B8IV,STAR B8IV,233.64
HIP 49368,151.17048401,-88.6738019,-21.66,14.03,3.36,F0IV/V,STAR F0IV,297.62
HIP 76725,235.02212866,-88.65457177,3.15,-24.61,1.8,K5III,STAR K5III,555.56
HIP 92300,282.18883445,-88.64039304,-3.55,-34.16,7.13,F3V,STAR F3V,140.25
HIP 39106,120.00244573,-88.60601643,-15.64,22.14,4.26,K3,STAR K3,234.74
HIP 32897,102.81526124,-88.53533293,-47.92,187.5,15.94,G2V,STAR G2V,62.74
HIP 66780,205.30113384,-88.48366695,5.41,-0.48,1.93,A0III/IV,STAR A0IV,518.13
HIP 38078,117.05068957,-88.45555971,-52.87,29.31,7.13,G2V,STAR G2V,140.25
HIP 104602,317.84743261,-88.45293992,3.61,4.28,3.05,K4III:,STAR K4III,327.87
HIP 60041,184.69478395,-88.41494466,-32.53,9.52,5.16,B9V,STAR B9V,193.80
HIP 29078,92.0128153,-88.37471461,-3.6,6.64,0.92,K1III:,STAR K1III,"1,086.96"
HIP 1007,3.14031225,-88.36287521,13.92,2.64,1.73,B9.5IV,STAR B9IV,578.03
HIP 8469,27.29750272,-88.35744689,18.56,9.27,3.1,B9/B9.5V,STAR B9V,322.58
HIP 54441,167.08632113,-88.35027692,-45.54,2.86,3.99,K1/K2III/IV,STAR K1IV,250.63
HIP 22379,72.26009098,-88.27117985,7.79,10.35,2.77,M2III,STAR M2III,361.01
HIP 10768,34.64451014,-88.14567966,-12.87,-17.88,5.55,G8IV,STAR G8IV,180.18
HIP 75736,232.08618345,-88.13281448,-88.78,-80.65,15.54,Am,STAR A0,64.35
HIP 62662,192.59313824,-88.12099013,-20.02,-18.32,8.73,F6/F7V,STAR F6V,114.55
HIP 57037,175.43679167,-88.06216667,,,,K5V,STAR K5V,#DIV/0!
HIP 32914,102.865625,-87.98325,,,,K3III:,STAR K3III,#DIV/0!
HIP 46043,140.84701457,-87.97397795,-21.91,19.96,2.62,K2,STAR K2,381.68
HIP 114889,349.07099452,-87.96052053,8.31,-4.02,0.57,M2III,STAR M2III,"1,754.39"
HIP 12931,41.58674786,-87.91213367,-0.92,1.68,2.69,A4IVp...,STAR A4IV,371.75
HIP 37199,114.63246458,-87.90611061,0.72,6.4,0.22,K0,STAR K0,"4,545.45"
HIP 5654,18.1616904,-87.86462696,-35.05,-25.76,7.28,G3V:,STAR G3V,137.36
HIP 97658,297.71916657,-87.84523235,-2.68,-34.09,2.94,F5V,STAR F5V,340.14
HIP 99687,303.43283338,-87.82269434,80.18,-121.93,12.24,G0V+...,STAR G0V,81.70
HIP 20325,65.3152272,-87.81311163,62.66,68.84,17.08,F5V,STAR F5V,58.55
HIP 110397,335.43036319,-87.80495774,133.74,-210.25,16.23,G3/G5IV,STAR G3IV,61.61
HIP 77114,236.18726193,-87.77643564,-48.48,-29.67,4.51,G6V,STAR G6V,221.73
HIP 50402,154.37537963,-87.72845521,-4.31,20.82,3.65,K1III,STAR K1III,273.97
HIP 40861,125.07335296,-87.72808059,-2.36,84.4,6.76,F5IV/V,STAR F5IV,147.93
HIP 75386,231.068889,-87.71192473,-39.54,-43.97,7.98,G6III,STAR G6III,125.31
HIP 1649,5.17280122,-87.66706225,128.8,43.67,11.33,G2V,STAR G2V,88.26
HIP 68569,210.57031074,-87.61535847,4.82,-3.44,2.44,K0III,STAR K0III,409.84
HIP 92824,283.69853501,-87.60551487,-36.69,-135.22,13.06,K3III,STAR K3III,76.57
HIP 84461,259.00349797,-87.5658958,-117.8,-156.05,5.32,G5III,STAR G5III,187.97
HIP 64690,198.8728529,-87.56030424,-221.35,-155.49,40.52,G5IV-V,STAR G5IV,24.68
HIP 115193,349.98143176,-87.55629096,30.92,29.71,6.57,F5V,STAR F5V,152.21
HIP 115836,352.01486122,-87.48224182,16.29,11.48,6.24,K2III,STAR K2III,160.26
HIP 100968,307.06872886,-87.47206607,169.74,-57.85,12.81,G3V,STAR G3V,78.06
HIP 903,2.78668359,-87.41423771,26.67,4.96,4.41,F8/G0V,STAR F8V,226.76
HIP 58185,178.99996635,-87.40319896,-6.87,-4.67,0.45,K1/K2III:,STAR K1III,"2,222.22"
HIP 88018,269.67191493,-87.36446589,-0.77,-30.76,5.39,K2/K3III,STAR K2III,185.53
HIP 5953,19.1520414,-87.34044714,7.99,-5.16,1.69,K4/K5III,STAR K4III,591.72
HIP 10809,34.7869698,-87.32151345,16.71,19.29,5.6,A3m...,STAR A3,178.57
HIP 13844,44.55309936,-87.32054873,24.35,-37.67,12.49,F6V,STAR F6V,80.06
HIP 111644,339.2478192,-87.3203913,-1.39,16.75,3.49,K0III,STAR K0III,286.53
HIP 33601,104.71716332,-87.30475791,13.66,-24.52,9.94,F6IV,STAR F6IV,100.60
HIP 83769,256.80656771,-87.2970817,0.12,47.89,7.47,F3/F5V,STAR F3V,133.87
HIP 56557,173.93385708,-87.26940521,-290.1,-24.77,17.09,G5IV/V,STAR G5IV,58.51
HIP 77470,237.27048337,-87.26643504,-0.68,-48.78,16.4,F5V,STAR F5V,60.98
HIP 87780,268.97181036,-87.24026537,6.46,-11.94,2.98,K3/K4III,STAR K3III,335.57
HIP 46512,142.30527985,-87.2369207,-10.38,5.33,1.39,B6III,STAR B6III,719.42
HIP 8550,27.57020475,-87.22843276,-26.9,-23.58,6.94,F5/F6V,STAR F5V,144.09
HIP 64109,197.08586661,-87.21951279,0.46,83.36,27.1,G6IV/V,STAR G6IV,36.90
HIP 15307,49.37385772,-87.21601247,-9.65,-2.09,2.96,A4:m...,STAR A4,337.84
HIP 83217,255.11210519,-87.20273044,-179.88,-156.04,20.11,G8/K0V,STAR G8V,49.73
HIP 106463,323.44377949,-87.18708091,8.67,1.76,2.99,G8/K0III,STAR G8III,334.45
HIP 94254,287.78986912,-87.1866899,8.36,10.31,1.92,M0/M1III:,STAR M1III,520.83
HIP 73883,226.5129939,-87.17411509,10.19,32.3,12.52,F5/F6V,STAR F5V,79.87
HIP 45816,140.12623123,-87.16666721,-9.75,6.79,2.85,A0IV,STAR A0IV,350.88
HIP 82459,252.77350829,-87.13678223,-2.81,-3.69,0.18,M3,STAR M3,"5,555.56"
HIP 113652,345.2757417,-87.05303079,0.83,-6.62,-2.25,Me,STAR M0e,-444.44
HIP 105585,320.78570241,-87.05208763,103.04,-87.76,19.1,G8:III:+...,STAR G8III,52.36
HIP 105569,320.72075456,-87.04833848,130.11,-90.02,3.2,G5,STAR G5,312.50
HIP 32500,101.74383218,-87.02497454,4.64,4.2,25.55,F3V,STAR F3V,39.14
HIP 32760,102.46101193,-86.93250381,2,-33.09,5.37,F2IV/V,STAR F2IV,186.22
HIP 20198,64.93792379,-86.92661327,1.55,9.35,1.82,G8III,STAR G8III,549.45
HIP 48620,148.72165843,-86.91028242,-26.34,10.85,4.44,K3III,STAR K3III,225.23
HIP 27050,86.04293325,-86.90219893,-7.28,4.41,3.98,G8III,STAR G8III,251.26
HIP 52065,159.58511513,-86.89721065,-37.04,35.39,16.91,G5/G6IV,STAR G5IV,59.14
HIP 86410,264.84561595,-86.8851355,-8.76,-9.35,8.63,F5/F6III/IV,STAR F5IV,115.87
HIP 28682,90.83193848,-86.78612066,11.65,8.8,4.74,F3IV/V,STAR F3IV,210.97
HIP 103426,314.31113357,-86.78079801,14.95,-15.03,3.82,B9.5:Vn,STAR B9V,261.78
HIP 36813,113.56630353,-86.77242457,-10.43,5.3,0.73,K0/K1II/III,STAR K1III,"1,369.86"
HIP 59086,181.75233658,-86.76015425,-10.54,1.58,2.51,G8II,STAR G8II,398.41
HIP 66710,205.11107857,-86.72515803,-20.18,-7.47,3.45,G8/K0III,STAR G8III,289.86
HIP 2764,8.81747147,-86.70523233,47.78,8.77,5.16,F2V,STAR F2V,193.80
HIP 13778,44.33217294,-86.70191862,5.79,24.42,7.4,F5IV,STAR F5IV,135.14
HIP 91074,278.65808078,-86.66255283,-2.59,-10.02,5.16,F5V,STAR F5V,193.80
HIP 43636,133.30567207,-86.56230265,15.71,-3.13,3.63,G8/K0III,STAR G8III,275.48
HIP 40514,124.07271791,-86.55740379,-30.23,45.59,10.44,A1IV/V,STAR A1IV,95.79
HIP 50605,155.05767619,-86.55689316,-47.25,28.96,13.45,F5IV,STAR F5IV,74.35
HIP 86836,266.15250714,-86.48624487,3.38,-15.96,-1.18,,UNIDENTIFIED,-847.46
HIP 109686,333.28231115,-86.47928188,3.88,6.8,4.64,A2IV,STAR A2IV,215.52
HIP 73791,226.23202302,-86.47156727,22.62,28.09,4.39,K0III,STAR K0III,227.79
HIP 65758,202.20864631,-86.44950865,-160.74,-56.86,17.94,G5/G6V,STAR G5V,55.74
HIP 13281,42.73046328,-86.41991139,194.07,205.45,6.41,G3/G5IV/V,STAR G3IV,156.01
HIP 116717,354.80363544,-86.39895146,35.04,-33.26,8.76,F0IV,STAR F0IV,114.16
HIP 72636,222.76087078,-86.39474542,-4.62,3.51,1.58,K4III,STAR K4III,632.91
HIP 27734,88.07529352,-86.39350894,-18.81,-1.21,3.19,G8III,STAR G8III,313.48
HIP 25412,81.52576156,-86.3883411,0.03,32.05,3.28,Md,STAR M0,304.88
HIP 40951,125.36438203,-86.37689869,-29.65,71.09,11.82,F5V,STAR F5V,84.60
HIP 113840,345.81687936,-86.3744281,25.74,-22.47,1.43,R...,UNIDENTIFIED,699.30
HIP 51737,158.56688435,-86.37090936,76.51,-18.07,9.8,F5V,STAR F5V,102.04
HIP 83255,255.24350817,-86.36429709,8.21,0,5.45,A2V,STAR A2V,183.49
HIP 86937,266.4657688,-86.29841047,29.19,-15.32,5.68,F0IIw...,STAR F0II,176.06
HIP 34967,108.52729662,-86.25133245,-89.68,57.81,11.86,F8V,STAR F8V,84.32
HIP 18872,60.68396133,-86.24539628,35.27,19.35,6.89,F2/F3III,STAR F2III,145.14
HIP 54474,167.17223125,-86.23094263,-28.12,5.17,3.37,M2III,STAR M2III,296.74
HIP 83987,257.53717943,-86.2042246,-0.3,-15.82,4.68,A5V,STAR A5V,213.68
HIP 92332,282.27736555,-86.19525737,51.15,-60.52,13.36,F5V,STAR F5V,74.85
HIP 19514,62.71031203,-86.1944487,-1.86,-1.52,2.45,F5IV,STAR F5IV,408.16
HIP 703,2.19229374,-86.1885047,4.79,6.34,-2.92,,UNIDENTIFIED,-342.47
HIP 9250,29.72803549,-86.18441423,2.71,31.21,7.09,F3V,STAR F3V,141.04
HIP 101562,308.75728771,-86.16361121,-30.74,60.06,6.91,F6V,STAR F6V,144.72
HIP 78948,241.7534195,-86.16055736,3.84,11.84,7.3,F7V,STAR F7V,136.99
HIP 110867,336.92608349,-86.15565341,167.84,-159.78,16.19,K0III,STAR K0III,61.77
HIP 60638,186.40949088,-86.15059684,-4.91,-6.56,4.26,K0III,STAR K0III,234.74
HIP 15574,50.15817334,-86.13826854,0.19,-18.04,6.75,F6V,STAR F6V,148.15
HIP 100793,306.55169182,-86.10480106,1,6.2,3.87,G8III,STAR G8III,258.40
HIP 51472,157.70531633,-86.09067844,1.11,-2.75,8.68,A1/A2IV/V,STAR A1IV,115.21
HIP 77613,237.67036179,-86.08511777,6.94,2.81,4.08,F2/F3V,STAR F2V,245.10
HIP 27710,88.01791555,-86.07520366,-12.73,43.38,9.48,F0IV,STAR F0IV,105.49
HIP 620,1.90322981,-86.03877612,22.73,6.98,2.53,B9IV,STAR B9IV,395.26
HIP 94002,287.08348164,-86.01414784,3.19,6.24,4.55,A8/A9V,STAR A8V,219.78
HIP 46892,143.32536808,-86.01002222,-51.52,-19.22,10.7,F3/F5IV+...,STAR F3IV,93.46
HIP 46870,143.26397746,-86.0095987,-48.86,-20.46,11.06,F2,STAR F2,90.42
HIP 111196,337.90761619,-85.96740206,-37.64,61.25,9.88,K0III,STAR K0III,101.21
HIP 67891,208.57060868,-85.95903167,-70.59,-20.51,8.02,F3IV,STAR F3IV,124.69
HIP 48976,149.86145383,-85.95425466,3.17,-16.08,6.71,F0IV,STAR F0IV,149.03
HIP 15974,51.41715619,-85.94625596,-2.87,15.99,1.31,F0V,STAR F0V,763.36
HIP 7302,23.50564042,-85.93587337,-0.66,-15.06,2.37,K3III:,STAR K3III,421.94
HIP 54409,167.00106139,-85.9176576,-6.55,-8.84,2.72,G8III,STAR G8III,367.65
HIP 37470,115.36228294,-85.91630233,-20.49,28.06,7.63,A9II/III,STAR A9III,131.06
HIP 26661,84.99718963,-85.91434283,-20.7,6.9,7.33,G8III,STAR G8III,136.43
HIP 108907,330.91231076,-85.90261825,24.97,31.94,9.2,G0IV/V,STAR G0IV,108.70
HIP 117751,358.20372197,-85.89554481,-0.07,18.44,5.92,A1m...,STAR A1,168.92
HIP 3470,11.08845455,-85.89152517,91.56,-4.2,15.37,F8/G0V,STAR F8V,65.06
HIP 12610,40.53246874,-85.8581115,18.56,6.27,5.48,A3/A4V,STAR A3V,182.48
HIP 107949,328.04645652,-85.83656586,-16.72,1.69,10.51,F7V,STAR F7V,95.15
HIP 87742,268.84613895,-85.8298956,5.86,-18.19,3.24,G8II,STAR G8II,308.64
HIP 66323,203.88107548,-85.82426705,-17.56,-6.19,4.33,B9.5IV,STAR B9IV,230.95
HIP 7931,25.48924531,-85.79551123,-5.79,6.81,4,K1III,STAR K1III,250.00
HIP 66753,205.23406365,-85.78599228,-87.65,-21.03,12.71,A2m...,STAR A2,78.68
HIP 59059,181.67689241,-85.78040428,-31.16,1.82,5.45,A1/A2IV,STAR A1IV,183.49
HIP 44020,134.47254454,-85.74890246,-42.56,54.04,5.56,F3/F5IV/V,STAR F3IV,179.86
HIP 54279,166.55585103,-85.74886404,-19.99,9.31,5.38,B9.5IV,STAR B9IV,185.87
HIP 32458,101.61375826,-85.74609745,-1.45,9.7,3.75,A1IV/V,STAR A1IV,266.67
HIP 105871,321.62701563,-85.72263129,167.71,-61.94,8.05,K0IV/V,STAR K0IV,124.22
HIP 10993,35.41931688,-85.71789991,4.59,-20.51,7.44,F0IV/V,STAR F0IV,134.41
HIP 115928,352.3180117,-85.7094001,4.99,-9.12,1.4,G5III,STAR G5III,714.29
HIP 91434,279.70799692,-85.70884796,147.5,-42.38,15.89,G0V,STAR G0V,62.93
HIP 3114,9.90895997,-85.70084431,173.24,-12.36,6.18,K5III,STAR K5III,161.81
HIP 39319,120.58650309,-85.69091786,-10.76,17.02,1.3,K2III:,STAR K2III,769.23
HIP 75015,229.93314426,-85.67958187,-58.3,2.27,13.2,F8/G0V,STAR F8V,75.76
HIP 43908,134.1745136,-85.66323432,-116.27,33.74,20.73,F0III,STAR F0III,48.24
HIP 14210,45.80471396,-85.6393703,9.39,0.6,1.66,Mb,STAR M0,602.41
HIP 105581,320.77831971,-85.63876238,-6.82,7.32,2.09,K5,STAR K5,478.47
HIP 58713,180.637414,-85.63747469,-41.1,0.73,5.01,F8,STAR F8,199.60
HIP 58697,180.58615049,-85.63176087,-56.44,1.55,9.74,K3III,STAR K3III,102.67
HIP 60926,187.30282883,-85.57924918,23.38,30.35,11.73,F6V,STAR F6V,85.25
HIP 93082,284.42308182,-85.56527347,-4.26,-23.31,2.56,M2III,STAR M2III,390.63
HIP 64709,198.93602337,-85.56118423,-27.09,-7.29,3.41,Ap...,STAR A0,293.26
HIP 105532,320.60966575,-85.54067864,-3.42,5.47,5.94,A2,STAR A2,168.35
HIP 80852,247.66829876,-85.51065183,-20.82,-13.72,3.51,K2/K3III,STAR K2III,284.90
HIP 112146,340.73561405,-85.50996088,7.05,-9.67,2.3,K2III,STAR K2III,434.78
HIP 56706,174.39630992,-85.48649606,29.76,9.15,11.36,F2III/IV,STAR F2IV,88.03
HIP 23372,75.37430734,-85.48621573,-58.01,-68.33,7.28,F5V,STAR F5V,137.36
HIP 37010,114.10189877,-85.43570208,-12.82,22.21,4.82,A7/A8V,STAR A7V,207.47
HIP 3053,9.69033976,-85.41237038,-86.37,-28.79,26.42,G8V,STAR G8V,37.85
HIP 22504,72.63706679,-85.37507484,48.4,-38,23.2,G3V,STAR G3V,43.10
HIP 63852,196.29366439,-85.36962151,-28,-2.61,2.68,K1III,STAR K1III,373.13
HIP 71564,219.54197435,-85.29364143,-48.54,-26.41,8.32,F7/F8V,STAR F7V,120.19
HIP 105628,320.91633142,-85.28828505,13.09,-25.75,5.59,A2/A3V,STAR A2V,178.89
HIP 83487,255.94927694,-85.28699684,-0.27,-18.91,4.52,A2/A3IV,STAR A2IV,221.24
HIP 51723,158.52429031,-85.28156938,-16.46,13.28,4.94,K1III,STAR K1III,202.43
HIP 17328,55.63620779,-85.26202284,20.99,24.32,6.78,B9V,STAR B9V,147.49
HIP 2928,9.28648678,-85.25251475,57.45,-44.31,3.74,K1III:,STAR K1III,267.38
HIP 88274,270.39253838,-85.21447624,-4.48,-144.72,14.91,F4V,STAR F4V,67.07
HIP 105145,319.50038449,-85.20114168,60.79,-19.93,5.99,K0III,STAR K0III,166.94
HIP 52020,159.42081224,-85.19455547,-16.67,1.71,6.19,B9.5V,STAR B9V,161.55
HIP 17079,54.89258674,-85.19451614,1.52,-8.53,2.81,K2/K3III:,STAR K2III,355.87
HIP 29830,94.22089682,-85.1851222,41.32,162.49,9.56,,UNIDENTIFIED,104.60
HIP 81063,248.35765065,-85.18153504,-66.08,-274.04,12.09,,UNIDENTIFIED,82.71
HIP 94930,289.75975242,-85.18121575,5.27,-2.7,-3.12,,UNIDENTIFIED,-320.51
HIP 12823,41.21596259,-85.15900357,-1.66,9.31,1.85,K2III,STAR K2III,540.54
HIP 63031,193.7431157,-85.12342237,67.47,22.11,8.79,K0III,STAR K0III,113.77
HIP 120071,151.90874574,-85.11982654,-15.81,14.8,3.83,,UNIDENTIFIED,261.10
HIP 57484,176.74864431,-85.10764555,-18.11,1.56,3.49,B8/B9V,STAR B8V,286.53
HIP 88896,272.22050367,-85.08438618,-3.05,-17.32,1.94,G6III,STAR G6III,515.46
HIP 102575,311.80740748,-85.08230504,28.08,-19.4,2.98,G8III,STAR G8III,335.57
HIP 49616,151.88902078,-85.07679025,-563.56,393.83,8.93,G3V,STAR G3V,111.98
HIP 40701,124.62467964,-85.07642753,-59.35,57.07,3.17,K5/M0III:,STAR K5III,315.46
HIP 29313,92.71579878,-85.06296748,-2.37,20.63,3.47,G8III/IV,STAR G8IV,288.18
HIP 59731,183.7483558,-85.05760764,-14.96,11.92,6.76,F3/F5V,STAR F3V,147.93
HIP 8783,28.24270726,-85.03486171,17.82,10.54,3.09,A0IV/V,STAR A0IV,323.62
HIP 108129,328.59368104,-85.03358338,-25.51,10.91,7.33,K0/K1III,STAR K1III,136.43
HIP 34374,106.89425028,-85.0265054,-12.35,37.41,4.92,A5IV/V,STAR A5IV,203.25
HIP 12078,38.92660772,-85.01699106,-7.38,-8.74,4.99,K1III,STAR K1III,200.40
HIP 60297,185.45786494,-85.0101548,16.07,48.74,5.72,G8IIICN...,STAR G8III,174.83
HIP 82768,253.73082351,-85.00985738,-46.34,-31.69,3.35,K0III,STAR K0III,298.51
HIP 114668,348.44561411,-85.00943575,7.31,0.42,1.9,M...,STAR M0,526.32
HIP 91202,279.07614507,-85.00756678,6.18,2.18,3.88,A3m...,STAR A3,257.73
HIP 96614,294.63920042,-85.00459438,92.8,-29.93,10.72,G1V,STAR G1V,93.28
HIP 1074,3.3314522,-84.99402068,10.97,17.4,4,M0/M1III,STAR M1III,250.00
HIP 55746,171.32525747,-84.95456894,-47.95,12.13,12.07,F5V,STAR F5V,82.85
HIP 81367,249.25447721,-84.9468142,-30.53,-10.23,4.7,K1III,STAR K1III,212.77
HIP 3899,12.50325276,-84.93524164,9.44,10.54,4.76,F5V,STAR F5V,210.08
HIP 98708,300.73047139,-84.91970177,11.92,-19.22,2.34,G8III,STAR G8III,427.35
HIP 26932,85.74467347,-84.90101081,-1.94,1.1,5.15,F0IV,STAR F0IV,194.17
HIP 114306,347.24298148,-84.87983544,17.1,-12.93,0.54,K0III,STAR K0III,"1,851.85"
HIP 21989,70.90002049,-84.81108962,-3.31,-2.47,3.79,,UNIDENTIFIED,263.85
HIP 106320,323.01192811,-84.80999675,31.31,-29.78,4.89,K3III,STAR K3III,204.50
HIP 20930,67.31937818,-84.80510807,9.07,-4.4,1.91,M4/M5III,STAR M4III,523.56
HIP 68695,210.92328182,-84.79153781,-35.96,-25.1,4.1,K2III,STAR K2III,243.90
HIP 74296,227.78664063,-84.78782184,3.22,4.03,10.24,B9.5V,STAR B9V,97.66
HIP 25776,82.55804936,-84.78521152,-6.84,44.27,9.35,A1V,STAR A1V,106.95
HIP 7568,24.3657494,-84.76965017,34.69,23.45,8.94,K0III,STAR K0III,111.86
HIP 76800,235.2152524,-84.75737247,-4.79,0.93,4.86,K0III,STAR K0III,205.76
HIP 105274,319.85350136,-84.75622445,91.81,-68.75,15.2,F6/F7V,STAR F6V,65.79
HIP 8976,28.92446139,-84.75116435,16.41,3.4,2.33,M1III,STAR M1III,429.18
HIP 92145,281.70840136,-84.72673733,7.2,-39.11,3.59,K1III,STAR K1III,278.55
HIP 95781,292.22442333,-84.71995362,68.97,-80.35,13,G5IV,STAR G5IV,76.92
HIP 16131,51.94545855,-84.71573862,121.73,66.91,8.9,K0IV,STAR K0IV,112.36
HIP 86072,263.86520504,-84.69673394,57.58,-1.1,7.66,F8V,STAR F8V,130.55
HIP 41796,127.83305273,-84.68503387,6.21,0.14,1.29,K1III,STAR K1III,775.19
HIP 110428,335.51053141,-84.66619545,-1.72,-15.56,4.29,M7III,STAR M7III,233.10
HIP 83751,256.76074535,-84.66532909,51.66,-22.13,15.32,G0V,STAR G0V,65.27
HIP 45532,139.19406862,-84.66033929,-28.8,15.67,4.91,K0III,STAR K0III,203.67
HIP 45469,138.98120463,-84.6479754,-14.15,20.05,2.57,M...,STAR M0,389.11
HIP 10436,33.61749095,-84.62370378,5.21,5.28,1.23,B9IV/V,STAR B9IV,813.01
HIP 45357,138.64542788,-84.62337867,-72.98,54.45,5.57,K1III,STAR K1III,179.53
HIP 76178,233.39521625,-84.60870657,-108.85,-149,12.09,G0V,STAR G0V,82.71
HIP 53702,164.80901947,-84.59387348,-64.13,-8.02,9.17,A1V,STAR A1V,109.05
HIP 71747,220.13969388,-84.5713746,7.82,25.89,6.85,K0/K1III,STAR K1III,145.99
HIP 69487,213.39226822,-84.54462906,-48.89,1.02,8.75,K0/K1III,STAR K1III,114.29
HIP 14759,47.65328768,-84.54367107,592.38,209.06,15.27,K5,STAR K5,65.49
HIP 85054,260.73660279,-84.51258905,-19.71,-70.39,8.21,G3V,STAR G3V,121.80
HIP 19732,63.44475023,-84.48581399,-3.61,8.44,0.37,B1Iab:,STAR B1I,"2,702.70"
HIP 68429,210.13426256,-84.48248547,-2.68,-4.92,3.49,K0III,STAR K0III,286.53
HIP 53498,164.15946425,-84.4785631,-14.85,5.3,4.02,B9III,STAR B9III,248.76
HIP 34753,107.91029536,-84.46940884,-10.25,11.65,4.84,B9/B9.5V,STAR B9V,206.61
HIP 76996,235.81708657,-84.46550807,137.01,96.74,15.02,A2V,STAR A2V,66.58
