name,ra,dec,pm_ra,pm_dec,parallax,spect_type,_class,dist
HIP 64743,199.03840172,-84.46283128,-38.67,-44.26,8.45,F6V,STAR F6V,118.34
HIP 80382,246.11715033,-84.45547209,28.97,-78.28,10.45,G2V,STAR G2V,95.69
HIP 39998,122.52773659,-84.4449365,-0.54,19.57,1.45,M2III,STAR M2III,689.66
HIP 54391,166.94008561,-84.43692048,-24.14,17.41,4.46,K0III,STAR K0III,224.22
HIP 108469,329.60330413,-84.4354324,14.43,-15.96,2.7,K1III,STAR K1III,370.37
HIP 102205,310.63978636,-84.40704999,60.3,-25.44,11.89,A1m...,STAR A1,84.10
HIP 88209,270.19602646,-84.40573935,16.73,6.21,5.05,A3IV,STAR A3IV,198.02
HIP 67227,206.63312646,-84.40181044,-32.99,15.59,0.42,,UNIDENTIFIED,"2,380.95"
HIP 93276,284.99965571,-84.40151255,3.89,-56.59,11.96,F8/G0V,STAR F8V,83.61
HIP 90509,277.02644303,-84.38723353,13.15,-9.13,5.47,B8/B9V,STAR B8V,182.82
HIP 95930,292.63953207,-84.38386088,37.83,-53.78,10.09,F5V,STAR F5V,99.11
HIP 98509,300.18674864,-84.38384035,29.51,-6.94,1.7,K1III,STAR K1III,588.24
HIP 21235,68.32444194,-84.37637244,5.9,42.96,3.34,G8III,STAR G8III,299.40
HIP 51084,156.55972836,-84.34834769,-14.22,16.35,2.25,M5/M6e,STAR M5e,444.44
HIP 36020,111.34301268,-84.34008514,-11.9,19.33,1.89,G8/K0III,STAR G8III,529.10
HIP 118119,359.39393659,-84.3321754,-3.51,-1.07,2.33,K0III,STAR K0III,429.18
HIP 105428,320.33758078,-84.30981655,21.89,-15.43,4.44,F5II/III,STAR F5III,225.23
HIP 83366,255.57686403,-84.30368812,-4.65,-5.61,0.68,M3III,STAR M3III,"1,470.59"
HIP 59928,184.39082643,-84.29058037,-94.78,5.3,10.47,F5V,STAR F5V,95.51
HIP 12921,41.55212817,-84.28301179,-71.78,47.21,15.84,G8V,STAR G8V,63.13
HIP 61501,189.02074144,-84.27478179,-18.8,4.97,2.36,B9.5IV/V,STAR B9IV,423.73
HIP 112859,342.83172658,-84.26374148,168.93,-76.31,15.86,M...,STAR M0,63.05
HIP 79242,242.57076306,-84.23153598,-337.59,-31.15,27.88,K0V,STAR K0V,35.87
HIP 51499,157.76420201,-84.22019882,-46.6,12.54,4.72,F2V,STAR F2V,211.86
HIP 19890,63.99564053,-84.18134794,78.46,48.82,6.17,K0/K1III,STAR K1III,162.07
HIP 16781,53.99149338,-84.16307795,-6.97,-31.94,5.88,G3IV/V,STAR G3IV,170.07
HIP 71404,219.02590478,-84.14843301,4.63,4.22,3.11,K3III,STAR K3III,321.54
HIP 107239,325.81276084,-84.14330128,-19.96,-118.48,16.56,G3V,STAR G3V,60.39
HIP 51272,157.09925336,-84.13875316,-5.59,-6.77,7.51,F5V,STAR F5V,133.16
HIP 111982,340.24554266,-84.13668181,-10.44,-106.99,11.23,F6V,STAR F6V,89.05
HIP 79682,243.93430507,-84.12459765,191.12,26.69,19.72,G3V,STAR G3V,50.71
HIP 87414,267.96572109,-84.11113449,13.44,-7.96,13.71,G0V,STAR G0V,72.94
HIP 507,1.51738261,-84.09820798,19.96,2.06,1.8,K3III,STAR K3III,555.56
HIP 56114,172.54557701,-84.09562809,-7.25,-2.44,3.24,B9III/IV,STAR B9IV,308.64
HIP 99902,304.0478475,-84.09058688,-72.71,-56.05,15.99,G8IV/V,STAR G8IV,62.54
HIP 41528,127.04944295,-84.08976395,5.72,-16.46,4.51,F0V,STAR F0V,221.73
HIP 49442,151.4136356,-84.0889266,-104.76,-0.46,14.41,F8V,STAR F8V,69.40
HIP 3036,9.65283516,-84.08731582,17.54,33.67,7.02,F0IV/V,STAR F0IV,142.45
HIP 17287,55.51464023,-84.08356237,-9.45,31.82,5.11,F3II/III,STAR F3III,195.69
HIP 96311,293.74344591,-84.07583507,56.74,-95.17,10.12,F7/F8V,STAR F7V,98.81
HIP 6383,20.50895263,-84.0640202,-152.01,-446.21,7.65,F:,STAR F0,130.72
HIP 68057,209.02258166,-84.06022922,-151.72,-173.61,11.43,G5,STAR G5,87.49
HIP 23180,74.81601779,-84.02255356,8.94,14.05,5.33,F0IV/V,STAR F0IV,187.62
HIP 3627,11.62690894,-84.01173303,49.67,-302.62,6.13,G8V,STAR G8V,163.13
HIP 32435,101.55596616,-83.99168435,18.91,62.52,17.46,F5V,STAR F5V,57.27
HIP 107823,327.66083673,-83.96097102,-4.91,-12.02,3.22,B8V,STAR B8V,310.56
HIP 108744,330.43087927,-83.95304586,27.94,-59.38,5.66,G3V,STAR G3V,176.68
HIP 93481,285.56013978,-83.93975931,-3.23,-13.26,4.01,Ap...,STAR A0,249.38
HIP 104244,316.80768448,-83.92426736,21.74,-0.07,5.24,F2V,STAR F2V,190.84
HIP 34905,108.32953471,-83.92379344,-1.85,10.97,2.86,M0III,STAR M0III,349.65
HIP 74187,227.39365501,-83.90950178,-20.56,-9.02,3.58,A7II,STAR A7II,279.33
HIP 66660,204.98431073,-83.90835876,89.17,14.48,11.87,F5V,STAR F5V,84.25
HIP 80990,248.10771295,-83.90262449,-57.83,-121.26,1.48,A9:Ia/Iab,STAR A9I,675.68
HIP 25758,82.51121925,-83.86860867,3.5,-9.8,8.52,F7V,STAR F7V,117.37
HIP 22763,73.45802473,-83.86582564,5.62,16.27,5.04,F3V,STAR F3V,198.41
HIP 117347,356.90597924,-83.86188317,16,25.63,5.13,G8/K0III/IV,STAR G8IV,194.93
HIP 23824,76.82630615,-83.86025826,58.04,147.61,21.01,F8V,STAR F8V,47.60
HIP 103235,313.71461195,-83.8540283,6.58,-4.71,4.22,F0V,STAR F0V,236.97
HIP 64652,198.79150949,-83.84345332,0.44,-17.75,3.75,F7/F8IV/V,STAR F7IV,266.67
HIP 30523,96.23243215,-83.83064393,-37.43,111.73,9.03,G3/G5IV/V,STAR G3IV,110.74
HIP 60912,187.25253753,-83.80268753,-15.58,7.2,4.52,B8V,STAR B8V,221.24
HIP 98279,299.53832865,-83.78206566,3.81,13.47,3.03,K3III,STAR K3III,330.03
HIP 55372,170.07238722,-83.78082896,26.4,-21.37,4.24,K0III,STAR K0III,235.85
HIP 64213,197.41583177,-83.77979885,-21.74,-0.21,1.04,K0,STAR K0,961.54
HIP 59404,182.78934018,-83.77819593,-16.34,2,5.15,Ap Si,STAR A0,194.17
HIP 78783,241.25796688,-83.77710894,-16.19,-12.87,3.29,A1V,STAR A1V,303.95
HIP 33675,104.93902589,-83.75270337,-10.55,106.93,5.42,G8III,STAR G8III,184.50
HIP 3911,12.53815505,-83.7439717,138.83,29.9,16.94,F7V,STAR F7V,59.03
HIP 112372,341.40629085,-83.7418801,16.56,-21.44,8.35,F3IV/V,STAR F3IV,119.76
HIP 45061,137.67149639,-83.74151272,11.42,5.97,4.9,G8/K0III,STAR G8III,204.08
HIP 82501,252.92363,-83.72662623,-7.25,0.65,4.96,F3V,STAR F3V,201.61
HIP 108322,329.17686022,-83.7265243,159.26,-80.83,13.8,G8IV/V,STAR G8IV,72.46
HIP 38537,118.37252975,-83.72184864,-11.92,35.34,5.88,A6IV/V,STAR A6IV,170.07
HIP 76032,232.92875727,-83.71250508,-7.63,-7.32,5.75,K0III,STAR K0III,173.91
HIP 102484,311.52314636,-83.6875964,9.46,-17.32,4.89,A2m...,STAR A2,204.50
HIP 84800,259.99823111,-83.68231315,75.79,3.9,13.55,G3V,STAR G3V,73.80
HIP 70638,216.73225313,-83.66785308,-95.79,-12.91,11.7,K2III,STAR K2III,85.47
HIP 48724,149.06970698,-83.66024936,-10.93,7.19,2.81,A3V,STAR A3V,355.87
HIP 62239,191.34970361,-83.65765698,-161.48,103.46,8.05,G0V,STAR G0V,124.22
HIP 96923,295.53431963,-83.65422472,38.32,-83.56,10.51,G3V,STAR G3V,95.15
HIP 73796,226.24276326,-83.64753237,-1.43,-8.51,3.38,G8/K0III,STAR G8III,295.86
HIP 95507,291.38354872,-83.63917531,-12.79,-8.55,4.4,F6IV/V,STAR F6IV,227.27
HIP 37226,114.69058972,-83.63670713,-25.71,186.28,2.6,G0,STAR G0,384.62
HIP 19589,62.97997303,-83.60195345,20.03,38.56,7.09,G0V,STAR G0V,141.04
HIP 80996,248.12685685,-83.59222291,-28.06,-40.9,3.71,F3IVp...,STAR F3IV,269.54
HIP 5084,16.28605474,-83.59037137,-5.94,17.82,4.73,K0III,STAR K0III,211.42
HIP 13195,42.44398379,-83.56956064,9.79,-15.62,3.51,K1III,STAR K1III,284.90
HIP 92509,282.79035328,-83.56303543,-2.37,0.83,5.46,K0III,STAR K0III,183.15
HIP 115641,351.39451041,-83.55086963,68.4,-15.04,3.16,F7V,STAR F7V,316.46
HIP 69834,214.38259075,-83.54779853,-49.21,-5.71,1.73,G8/K0II/III,STAR G8III,578.03
HIP 81390,249.32305097,-83.54723286,78.59,68,21.41,K0V,STAR K0V,46.71
HIP 14700,47.47417906,-83.53160839,-4.55,21.53,4.16,F2/F3Ib/II,STAR F2II,240.38
HIP 29228,92.43853671,-83.52272373,-37.07,35.04,6.56,F3V,STAR F3V,152.44
HIP 46373,141.84372201,-83.52006456,-31.99,14.33,4.16,F2IV,STAR F2IV,240.38
HIP 110729,336.51160599,-83.51587679,27.74,19.59,6.66,F0III,STAR F0III,150.15
HIP 21480,69.19489768,-83.49673273,-13.22,72.04,6.34,K0/K1III,STAR K1III,157.73
HIP 56323,173.20869604,-83.48427376,-11.36,-4.35,6.31,G8III,STAR G8III,158.48
HIP 94347,288.04644334,-83.48338675,136.95,-128.05,22.25,F5V,STAR F5V,44.94
HIP 80611,246.88763456,-83.47556255,-133.76,-166.11,11.06,F5V,STAR F5V,90.42
HIP 112049,340.43225625,-83.46379693,39.11,-40.85,23.29,K2III,STAR K2III,42.94
HIP 16840,54.18447438,-83.44915551,-10.64,2.68,3.33,K2/K3III,STAR K2III,300.30
HIP 98905,301.26584067,-83.44002949,35.52,-20.8,3.86,F2IV,STAR F2IV,259.07
HIP 101333,308.07279152,-83.43082922,22.23,21.51,2.92,K1III,STAR K1III,342.47
HIP 93117,284.54178857,-83.42216671,16.9,-13.03,5.84,B9/B9.5V,STAR B9V,171.23
HIP 89358,273.51579546,-83.41403207,9.12,2.78,7.09,G6IV/V,STAR G6IV,141.04
HIP 55116,169.26558267,-83.3934501,-9.57,2.65,2.42,A1IV,STAR A1IV,413.22
HIP 16208,52.20621419,-83.38485985,-1.25,22.42,4.92,F2/F3V,STAR F2V,203.25
HIP 66822,205.43622268,-83.3796433,-10.96,-7.48,2.98,B9IV,STAR B9IV,335.57
HIP 8018,25.73332534,-83.36709095,-8.05,-33.06,14.95,K0/K1III+..,STAR K1III,66.89
HIP 51672,158.34901187,-83.3625223,0.89,-3.3,1.46,K0III,STAR K0III,684.93
HIP 109415,332.51442012,-83.35820838,24.8,-8.61,3.77,K1III,STAR K1III,265.25
HIP 113257,344.02180646,-83.35157348,10.28,-8.58,8.52,F6V,STAR F6V,117.37
HIP 14052,45.23483372,-83.3374285,24.78,29.89,3.37,K1III,STAR K1III,296.74
HIP 66869,205.57223283,-83.32143917,-7.42,-19.22,5.22,F3/F5V,STAR F3V,191.57
HIP 60330,185.55317609,-83.31991228,26.98,-7.15,6.59,F5V,STAR F5V,151.75
HIP 92586,282.99182485,-83.31630912,1.79,-18.1,3.02,K1IIICN...,STAR K1III,331.13
HIP 100697,306.22834017,-83.31063455,23.65,7.54,12.95,A2/A3m...,STAR A2,77.22
HIP 26383,84.26672975,-83.2911313,3.82,-92.95,6.96,F8V,STAR F8V,143.68
HIP 70154,215.31716617,-83.27921867,-10.32,-9.9,2.2,A8V+...,STAR A8V,454.55
HIP 58055,178.60745747,-83.27324782,12.21,-37.36,5.71,K1III,STAR K1III,175.13
HIP 104997,318.98172847,-83.2658631,-8.18,-11.43,3.93,K1III,STAR K1III,254.45
HIP 4926,15.80161616,-83.25451373,20.61,1.34,4.48,G8/K0III,STAR G8III,223.21
HIP 111898,339.99740091,-83.25167274,52.17,-24.02,10.15,A9IV,STAR A9IV,98.52
HIP 7637,24.60283351,-83.24769755,51.95,-27.45,4.71,G8/K0III,STAR G8III,212.31
HIP 82076,251.47357184,-83.23982394,16.43,-21.6,3.53,K4III,STAR K4III,283.29
HIP 87931,269.43641948,-83.23540536,5.69,-92.04,9.13,F0/F2IV,STAR F2IV,109.53
HIP 76642,234.76680654,-83.23267466,-10.73,-7.77,0.87,B2III,STAR B2III,"1,149.43"
HIP 73540,225.46126796,-83.22777573,18.65,53.3,8.39,G8/K0III,STAR G8III,119.19
HIP 82853,253.98867898,-83.21820845,37.68,-145.83,14.6,G5/G6V,STAR G5V,68.49
HIP 105511,320.552276,-83.20955561,7.03,-63.72,14.28,F0/F2+...,STAR F2,70.03
HIP 63002,193.64769893,-83.17303323,-11.6,-5.05,3.14,A0IV,STAR A0IV,318.47
HIP 24202,77.93359122,-83.17138982,-33.29,-49.81,12.65,F8V,STAR F8V,79.05
HIP 103679,315.13509616,-83.14660137,11.96,-3.23,4.1,K2/K3III,STAR K2III,243.90
HIP 2115,6.71210029,-83.13913309,44.48,-0.61,9.53,K0:III:+...,STAR K0III,104.93
HIP 88950,272.35262054,-83.13313707,-5.6,-38.5,7.01,F5V,STAR F5V,142.65
HIP 116982,355.72644604,-83.13202265,-13.24,10.48,0.87,G8/K0III,STAR G8III,"1,149.43"
HIP 71370,218.93960165,-83.12087706,-8.18,-8.51,2.28,B9.5V,STAR B9V,438.60
HIP 19250,61.87594585,-83.11573691,77.09,93,10,G5/G6V,STAR G5V,100.00
HIP 52104,159.68942056,-83.10873654,-265.89,193.79,11.32,G3/G5IV/V,STAR G3IV,88.34
HIP 56996,175.2566544,-83.09996178,-59.61,10.24,9.47,K0III,STAR K0III,105.60
HIP 107267,325.90099469,-83.0728307,19.36,-25.53,1.49,K1/K2III,STAR K1III,671.14
HIP 17931,57.51773134,-83.07039462,-10.08,-159.35,8.2,G3V,STAR G3V,121.95
HIP 14272,45.99951872,-83.0690025,-4.92,-3.05,4.82,G6IV,STAR G6IV,207.47
HIP 1452,4.52345796,-83.06136375,26.1,7.23,3.49,F0:III/IV,STAR F0IV,286.53
HIP 12971,41.7142375,-83.04250951,86.73,48.32,6.26,F2IV,STAR F2IV,159.74
HIP 73771,226.19567959,-83.03826851,-8.65,-17.65,1.88,G8Ib,STAR G8I,531.91
HIP 106259,322.84096412,-83.03368736,-11.51,16.64,9,A2V,STAR A2V,111.11
HIP 3087,9.81381032,-83.03290796,4.95,-6.13,3.69,Ap...,STAR A0,271.00
HIP 18157,58.22730057,-83.02807694,111.23,47.84,8.86,K1III/IV,STAR K1IV,112.87
HIP 117825,358.4524119,-83.00696549,146.87,31.14,4.75,M0III,STAR M0III,210.53
HIP 19955,64.18991301,-82.99702037,-7.49,-1.72,4.46,F0V,STAR F0V,224.22
HIP 77248,236.59962002,-82.99605661,-9.47,-14.97,3.22,K1III:,STAR K1III,310.56
HIP 118051,359.18445513,-82.98410383,3.13,5.6,2.06,K1III,STAR K1III,485.44
HIP 61395,188.71000612,-82.98026096,-127.85,7.06,15.68,K2/K3V,STAR K2V,63.78
HIP 7601,24.47908355,-82.97528876,122.3,120.7,36.86,G2V,STAR G2V,27.13
HIP 29960,94.60642612,-82.97111685,-2.12,-6.06,4.04,A6V,STAR A6V,247.52
HIP 10806,34.77630709,-82.95401718,18.89,-6.61,3.82,K0II/III,STAR K0III,261.78
HIP 63967,196.63398988,-82.95069773,-22.82,-3.54,5.76,A5m...,STAR A5,173.61
HIP 97475,297.17921168,-82.926721,4.25,1.88,1.88,K3/K4III,STAR K3III,531.91
HIP 51925,159.10394771,-82.92283279,-13.65,-0.73,2.57,B9/B9.5V,STAR B9V,389.11
HIP 68647,210.77910218,-82.92055412,-53.96,13.73,6.73,K3III,STAR K3III,148.59
HIP 73013,223.82084648,-82.91895432,-4.23,2.7,5.95,F8V,STAR F8V,168.07
HIP 50461,154.54541803,-82.91073436,47.42,-18.49,12.44,K0/K1III,STAR K1III,80.39
HIP 48294,147.70137008,-82.91026322,-26.09,29.74,7.61,F0IV,STAR F0IV,131.41
HIP 20446,65.71284366,-82.899089,-13.43,4.65,10.05,A7IV/V,STAR A7IV,99.50
HIP 91619,280.27583815,-82.89787983,-17.07,-1.34,4.16,K1/K2III,STAR K1III,240.38
HIP 32351,101.29137391,-82.89586643,-32.71,9.8,12.43,F0/F2V,STAR F2V,80.45
HIP 80754,247.32377664,-82.88443126,-117.27,-130.65,8.56,,UNIDENTIFIED,116.82
HIP 49889,152.79718604,-82.86682216,-450.52,329.28,35.62,K:,STAR K0,28.07
HIP 44909,137.2299782,-82.85470089,-51.82,52.91,8.38,F5V,STAR F5V,119.33
HIP 70418,216.0924058,-82.84822332,-22.64,-10.97,3.7,B8V,STAR B8V,270.27
HIP 14223,45.8528105,-82.84480525,376.51,245.39,28.11,,UNIDENTIFIED,35.57
HIP 111825,339.75033293,-82.81383857,-38.72,-11.95,6.88,F0III/IV,STAR F0IV,145.35
HIP 28363,89.88387248,-82.81189565,-3.5,36.25,6.22,F8V,STAR F8V,160.77
HIP 99318,302.39492411,-82.80500136,43.12,-70.9,11.06,F5V,STAR F5V,90.42
HIP 47622,145.66254854,-82.78851936,-20.88,20.16,3.53,B9.5V,STAR B9V,283.29
HIP 85530,262.18327881,-82.77959567,-0.44,-1.67,2.09,B2V,STAR B2V,478.47
HIP 108057,328.39733237,-82.77874132,3.33,-34.73,2.61,,UNIDENTIFIED,383.14
HIP 87165,267.13162339,-82.77435906,32.78,24.06,9.9,F5/F6IV/V,STAR F5IV,101.01
HIP 83439,255.80586397,-82.76387023,-19.24,-22.83,5.26,A2V,STAR A2V,190.11
HIP 108497,329.69264187,-82.75317036,30.31,-0.15,5.46,K1III,STAR K1III,183.15
HIP 66707,205.10872203,-82.74639717,11.92,0.07,4,K1III,STAR K1III,250.00
HIP 59624,183.40590859,-82.73710226,-21.01,-10.15,4.65,K2III,STAR K2III,215.05
HIP 88343,270.62116537,-82.73540283,8.34,-20.85,2.67,G3III/IV,STAR G3IV,374.53
HIP 62132,191.00369034,-82.7343335,9.88,-5.21,9.74,F7/F8V,STAR F7V,102.67
HIP 64119,197.12304601,-82.72100157,-128.18,-26.89,10.58,G0V,STAR G0V,94.52
HIP 107843,327.72603561,-82.71882392,68.15,-33.03,7.49,G8/K0III+..,STAR G8III,133.51
HIP 113807,345.69506455,-82.70781063,354.69,-121.07,16.89,K0IV,STAR K0IV,59.21
HIP 112911,342.99036434,-82.70205494,15.72,38.98,8.54,K0III,STAR K0III,117.10
HIP 1806,5.73090555,-82.68350013,39.19,4.94,3.87,F0/F2IV/V,STAR F2IV,258.40
HIP 106474,323.47696549,-82.68307834,22.61,-2.5,4.01,B3IV,STAR B3IV,249.38
HIP 72825,223.28501677,-82.6824333,-11.36,-12.6,0.46,M5III,STAR M5III,"2,173.91"
HIP 8291,26.70584295,-82.67298535,23.06,-0.05,8.9,F0V,STAR F0V,112.36
HIP 4266,13.63993371,-82.66931994,6.04,-2.06,1.91,R...,UNIDENTIFIED,523.56
HIP 68009,208.91245413,-82.66613365,-25.06,-23.27,3.74,K2/K3III:p,STAR K2III,267.38
HIP 76966,235.73927225,-82.66274611,-39.25,-26.3,4,K1III,STAR K1III,250.00
HIP 109280,332.07614995,-82.63394759,-6.4,-25.57,1.9,K1III,STAR K1III,526.32
HIP 110231,334.936862,-82.63185875,-10.02,-18.76,6.81,G5V,STAR G5V,146.84
HIP 97855,298.29396837,-82.6312855,15.01,-16.12,2.56,K2III,STAR K2III,390.63
HIP 41910,128.17907256,-82.6144807,-66.94,67.75,13.2,F6V,STAR F6V,75.76
HIP 19437,62.43260776,-82.59106897,-2.25,10.73,7.09,F6V,STAR F6V,141.04
HIP 28837,91.30434688,-82.58956157,0.38,9.02,2.4,A0IV,STAR A0IV,416.67
HIP 21455,69.1073638,-82.58251749,173.71,147.92,23.01,K1/K2V,STAR K1V,43.46
HIP 37356,115.01612087,-82.58162778,-20.87,32.22,6.41,K3IIICN...,STAR K3III,156.01
HIP 53629,164.57189342,-82.58055475,-13.91,12.01,4.43,B9IV/V,STAR B9IV,225.73
HIP 42059,128.5971376,-82.56688032,-48.97,61.3,8.42,Fm...,STAR F0,118.76
HIP 80567,246.75340036,-82.55986239,-12.63,-18.7,6.05,K0III,STAR K0III,165.29
HIP 58623,180.33286958,-82.55643418,-161.39,91.8,14.84,G6/G8V:,STAR G6V,67.39
HIP 10594,34.09920759,-82.55417351,-19.92,-11.39,4.06,F6/F7III/IV,STAR F6IV,246.31
HIP 93544,285.7847285,-82.55344695,29.37,-24.95,4.67,F3V,STAR F3V,214.13
HIP 5549,17.79328601,-82.54833799,186.54,-196.85,13.4,G1V,STAR G1V,74.63
HIP 58361,179.50763394,-82.52338424,41.48,-21.49,11.52,G3V,STAR G3V,86.81
HIP 21967,70.82699667,-82.51988037,52.18,50.18,3,M0/M1III,STAR M1III,333.33
HIP 55876,171.80001068,-82.51724548,-69.44,-2.75,3.99,K0III,STAR K0III,250.63
HIP 82619,253.35032532,-82.51186456,-5.1,-1.96,1.03,G3III,STAR G3III,970.87
HIP 9386,30.1556449,-82.50856293,0.02,-11.34,5.53,F0IV/V,STAR F0IV,180.83
HIP 49261,150.84122804,-82.50830999,-89.22,36.13,5.05,K0III,STAR K0III,198.02
HIP 117066,355.99140547,-82.50827822,-129.45,-91.76,25.18,G2V,STAR G2V,39.71
HIP 3716,11.92492045,-82.507495,-153.59,-153.7,13.96,G3V,STAR G3V,71.63
HIP 89876,275.10231953,-82.5054193,2.06,-25.61,2.22,K2III,STAR K2III,450.45
HIP 93834,286.6413239,-82.49245992,-40.82,44.29,6.02,F8/G0IV,STAR F8IV,166.11
HIP 15645,50.35323489,-82.47808468,71.99,21.12,9.59,F5V,STAR F5V,104.28
HIP 22646,73.08382327,-82.47637139,137.84,150.07,30.39,K2V,STAR K2V,32.91
HIP 11084,35.68773119,-82.47609129,15.35,3.43,5.8,A1V,STAR A1V,172.41
HIP 23148,74.71244667,-82.47052255,-5.1,4.12,9.34,G8III,STAR G8III,107.07
HIP 107747,327.40107072,-82.43387561,83.14,-49.89,10.11,F6V,STAR F6V,98.91
HIP 86210,264.25857963,-82.43042777,-0.74,-12.37,1.89,K5III,STAR K5III,529.10
HIP 27279,86.71554314,-82.42828951,2.72,-5.45,4.78,A3V,STAR A3V,209.21
HIP 92817,283.68832434,-82.41805155,-351.03,8.58,6.99,,UNIDENTIFIED,143.06
HIP 46742,142.90798979,-82.41212203,0.23,-25.92,4.48,F7V,STAR F7V,223.21
HIP 117381,357.001353,-82.4116961,21.42,-6.43,2.35,F3IV,STAR F3IV,425.53
HIP 8374,26.96742977,-82.40607989,92.12,37.11,8.25,G2IV/V,STAR G2IV,121.21
HIP 84219,258.2273553,-82.38812855,18.47,-6.75,9.73,F2IV/V,STAR F2IV,102.77
HIP 31931,100.09518606,-82.38073112,-65.82,281.74,20.94,,UNIDENTIFIED,47.76
HIP 24276,78.15062561,-82.3682796,-5.13,35.29,4.63,F5V,STAR F5V,215.98
HIP 37512,115.48437477,-82.34175858,20.32,-32.28,5.74,K0III,STAR K0III,174.22
HIP 18136,58.16098936,-82.33098471,-13.5,44.97,9.99,G5IV/V,STAR G5IV,100.10
HIP 44800,136.94593413,-82.32486753,34.24,-15.11,12.56,F7V,STAR F7V,79.62
HIP 83972,257.46519292,-82.31860114,-1.26,-17.57,4.14,B6IV,STAR B6IV,241.55
HIP 16768,53.94206643,-82.31400011,32.45,16.39,10.19,G2V,STAR G2V,98.14
HIP 9697,31.18284953,-82.29944426,10.85,11.54,2.75,B9V,STAR B9V,363.64
HIP 9191,29.58657437,-82.29408096,-66.37,14.63,16.89,G8/K0V:+...,STAR G8V,59.21
HIP 53871,165.32096709,-82.29280206,-40.03,17.59,5.33,F0IV,STAR F0IV,187.62
HIP 101628,308.97627085,-82.2905907,-123.8,-108.57,14.14,G0V,STAR G0V,70.72
HIP 7560,24.34757533,-82.28174482,50.97,-34.08,8.03,G5III:+...,STAR G5III,124.53
HIP 102695,312.12502965,-82.26866498,13.06,-3.18,2.74,G8III,STAR G8III,364.96
HIP 15540,50.05007406,-82.26499489,-63.69,-55.53,7.5,F2V,STAR F2V,133.33
HIP 46557,142.41757063,-82.26331034,-35.53,15.45,5.62,A1V,STAR A1V,177.94
HIP 102868,312.61417853,-82.26307851,24.55,-77.22,13.94,G2V,STAR G2V,71.74
